location,title,company,salary,summary
"Miami, FL",Senior Data Analyst,Principal Coverage,69850.0,The role of Senior Data Analyst requires you to work directly with stakeholders to oversee and conduct conversion data into insights that will lead to informed…
"Torrance, CA 90502",Data Scientist,Clock Foundation,127560.705,"A PhD (or equivalent experience) in a relevant scientific subject including but not limited to bioinformatics, biostatistics, or computational biology, with…"
"Los Angeles, CA",Data Operations Manager,BIGO Technology Pte. Ltd.,139700.0,Proficient in converting data sets into actionable business insights.Enable decision-making by developing and aggregating data to present it in an actionable…
"Los Angeles, CA",Scorekeeper (Statistician),Los Angeles Hoopz,30480.0,Job Description: Arrive Fifteen (15) minutes prior to tip-off of scheduled game.Maintain an accurate account of all processes associated with the game.
"Herndon, VA 20170",Data Scientist,Cognowiz solutions LLC,88900.0,The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to…
"Herndon, VA 20170",Junior Data Scientist,Cognowiz LLC,88900.0,The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to…
"Washington, DC",Data Scientist,DigitCompass,152400.0,"Shall have a minimum of a Master’s degree in computer science, statistics, or applied mathematics, and demonstrated experience of four (4) years in creating…"
"Washington, DC 20002 (Capitol Hill area)",Senior Data Analyst,Capitaltechsolutions Inc,259080.0,"As a data lead, the candidate will be responsible for design and development of data interfaces, collection schemas, data quality and transformation processes…"
"Rockville, MD",AWS Data Scientist,OraApps Inc,228600.0,"Data analytics: 5 years (Preferred).AWS Cloud: 3 years (Preferred).Full Implementation: 3 years (Preferred).Job Types: Full-time, Part-time."
"Washington, DC 20004 (Penn Quarter area)",Senior Data Analyst,IOV Solutions,139700.0,"Providing technical expertise on data storage structures, data mining, and data cleansing.To do well in this role you need a very fine eye for detail,…"
"Gaithersburg, MD 20878",Senior Data Analyst,New Millenium Consulting,251460.0,"Hands on Experience with data analytics & reporting tools/platforms.Solid experience with project risk mitigation, and the ability to assist in the…"
"Herndon, VA 20170",Junior to Mid Level Data Science Engineer,ThinkTrends,130175.0,"Due to the lack of these tools for scaling AI from complex data, organizations have to invest heavily on specialized data scientists and engineers."
"Arlington, VA","Sr. Data Scientist - Corporate@ Arlington, Virginia",CEDENT,161925.0,"Knowledge/Experience: Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 5+ years…"
"Washington, DC",Data Scientist USA - Anomaly Detection,Blue Orange Digital,124466.35,You will be joining a highly talented team of engineers and data scientists working on implementing production machine learning models in the media space.
"Alexandria, VA",Data Engineer,Bluestone Analytics,219075.0,"Work with data and analytics experts to strive for greater functionality in data systems.Apply semantic data modeling techniques to classify, aggregate, and…"
"Arlington, VA 22202 (Aurora Highlands area)",AI / Machine Learning Engineer,ERPI,114300.0,"Collaborate with data engineers, data scientists, and infrastructure engineers to develop and deploy and model pipelines, applying ML and data science…"
"Bethesda, MD",Software Engineer Artificial Intelligence,A&A Enterprises,123837.7,"You will communicate often and effectively with team, sponsors and JHU/APL leadership by actively participating in the APL data science, analytics and AI…"
"Arlington, VA 22202 (Aurora Highlands area)",Data Scientist (Active Secret or Top Secret Clearance - DOD),ERPI,114300.0,"Experience with integrated development environments, data integration, data visualization, data mining, and analysis tools."
"Washington, DC",Statistical Programming Analyst,DigitCompass,152400.0,"The key personnel shall also demonstrate experience using advanced analytic techniques such as modern econometric methods, machine learning, multivariate…"
"Laurel, MD 20708",Quantitative Ecologist / Wildlife Statistician,USGS Patuxent Wildlife Research Center and Natural...,73025.0,Types of services required: *Examples of potential working tasks include designing and/or performing analyses on a variety of datasets including wild bird…
"Washington, DC 20001 (Shaw area)",Senior Data Science Consultant,"BioTeam, Inc.",190500.0,"8+ years of experience as a Data Scientist, including database management with focused experience in data discovery and analytics, using technology such as…"
"Arlington, VA 22202 (Aurora Highlands area)",Data Engineer (Active Secret or Top Secret Clearance - DOD),ERPI,120650.0,Maintain all operational aspects of data transfers while accounting for the security posture of the underlying infrastructure and the systems and applications…
"Rockville, MD 20850",Statistician/Programmer,"Information Management Services, Inc",30784.8,"Looking for a collaborative, fun company with room for growth? IMS, Inc. is a recognized leader in the biomedical IT field, with clients including the NCI,…"
"Nashville, TN",Data Scientist,Miller Bros Solar,80645.0,More than 2 years of experience in machine learning and data mining.Apply advanced statistical analysis and data mining techniques to detect problems through…
"Houston, TX",Artificial Intelligence Engineer,Skylar Capital,159385.0,"The AI Engineer will play a key role in the planning and development of diverse data driven AI based models.In other cases, this person will be working with a…"
"Houston, TX 77079 (Memorial area)",Artificial Intelligence and Machine Learning Specialist,Sharp Vision Software,139700.0,"M.S. degree in Computer Science with a concentration on Artificial Intelligence including natural language recognition, machine learning, and neural network."
"Dallas, TX 75202 (West End Historic District area)",Data Scientist - Sam's Club (a division of Walmart),Sam's Club (a division of Walmart),125412.5,"Proficiency in machine learning algorithms such as multi-class classifications, decision trees, support vector machines, deep learning, and anomaly detection."
"Dallas, TX 75390 (Near East area)",Data Scientist,UT Southwestern Medical Center,95250.0,2+ years experience in developing machine learning methodologies and building robust production machine learning systems.Machine Learning: 2 years (Preferred).
"Irving, TX 75038 (Cottonwood area)",Statistician,RCI,79248.0,"Extract data from batch records, compile statistical data, create variance reports using spreadsheets and calculations required using standard deviations."
"Irving, TX",Data Scientist,Employment Placement Agency,198120.0,"Familiar with at least one machine learning framework: TensorFlow, Keras, Caffe, etc.Strong knowledge of advanced mathematics, image/video processing, computer…"
"Richardson, TX 75080 (Southwest Richardson area)",NLP Software Engineer,Lymba Corporation,95250.0,"Candidates must have a strong desire to learn new things, the ability to think creatively, excellent communication skills, and the ability to work in a team…"
"Bellevue, WA",Data Engineer / Data Scientist,SageBeans RPO,146050.0,"6-9 years’ experience with detailed knowledge of cloud-based data warehouse technical architectures, ETL/data pipelines, reporting/analytics tools."
"New York, NY",Data Scientist,Ampcontrol.io,159793.94,"Experience in data science tools such as NumPy, Pandas, TensorFlow, Gekko, and similar.You'll be responsible for building, maintaining and improving our…"
"New York, NY",Director Data Science,Sky RPO,254000.0,No sponsorship is available now or in the future.Remote start with transition onsite once COVID restrictions are uplifted.Should be open to travel later.
"Long Island City, NY 11101",COVID-19 Senior Data Analyst - Temp,Fund For Public Health In New York Inc,152064.72,Oversee facility data and referral processing and data management of cluster investigations to ensure that activities are conducted according to applicable…
"Long Island City, NY 11101",COVID Senior Data Analyst - Lab Data,Fund For Public Health In New York Inc,115319.81," Supervise other data analysts fulfilling requests for laboratory data or reports. Manage complex and large COVID laboratory datasets, including positive and…"
"New York, NY","Head of Data/Lead - New York, NY - Full Time",Borassus Infotech,209550.0,"Understanding of the breadth of data and analytics solutions – data models, warehouses, MDM, data governance/quality, data integration, BI, and analytics."
"New York, NY",Artificial Intelligence Architect,Info Origin Inc.,196850.0,"Good understanding of machine learning techniques such as neural networks, classification and regression trees, random forests, etc.Be a GC or US Citizen.."
"New York, NY",Quantitative Researcher,VQR,142875.0,Practical experience applying statistical methods to large amount of data (machine learning knowledge a must).Competitive salary and performance-based bonuses.
"Long Island City, NY 11101",Senior Data Analyst - Visualization and Reporting,Fund For Public Health In New York Inc,115319.81, At least one year of experience in health data analysis and epidemiologic methods. Supervise data analysts fulfilling requests for data or reports made by…
"Long Island City, NY 11101",COVID Senior Data Analyst- Lead Data Analysis and Reporting,Fund For Public Health In New York Inc,128720.215,"We are seeking to fill a leadership data analyst position in the COVID Epidemiology and Data Unit who will manage critical COVID human surveillance, lab and…"
"Brooklyn, NY",Lead Software Engineer (AI + Machine Vision),EvTek,95250.0,The EvTek System is a reliable and trustworthy recycling solution that generates metrics to connect consumers to their actions and provides our customers value…
"New York, NY",Senior Machine Learning Engineer,Open Data Science. Inc.,133350.0,Interest in machine learning techniques to develop better predictive and clustering models._Understanding and genuine interest in AI and machine learning…
"New York, NY",Senior/Principal Statistical Programmer - Oncology (Ref: PY),PHASTAR,165100.0,"Feeding back data errors to client data management teams.We offer structured training and development plans, the opportunity to continue your own research, a…"
"New York, NY",Senior/Principal Statistical Programmer - Oncology (Ref: PY),PHASTAR,165100.0,"THE COMPANY PHASTAR is a multiple award-winning, top 10, data focused CRO specialising in providing statistics, programming, data management and data…"
"Northbrook, IL 60062",Data Scientist - Marketing,UL,100330.0,"Identify relevant data, analyze, and interpret trends or patterns in complex data sets.Three (3) years minimum of hands-on analytics experience, with…"
"Foster City, CA",Data Scientist,Winwire Technologies,274320.0,"Working with engineering teams to incorporate analyses and solutions, including working with data engineers on data quality assessment, data cleansing and data…"
"Walnut Creek, CA",Data Scientist,Telnet INC,190500.0,You will be using a big amount of data to develop network insights and strategies to improve performance including: Performing data analytics and applying data…
"San Francisco, CA",Software Engineer - Machine Learning Platform,Park Computer Systems,185928.0,"Ability to conduct technical deep dives into the code, cloud networking, deployments, and architecture, and work closely with product."
"San Ramon, CA 94583",Junior Machine Learning Engineer,"Impulselogic, Inc.",85725.0,"At least 12 months building machine learning models, feature engineering, feature selection, and solving machine learning issues, including overfitting."
"San Francisco, CA 94105 (Yerba Buena area)","Senior Machine Learning Scientist, AI Foundation",Open Data Science. Inc.,133350.0,Be a great mentor to other machine learning scientists.Strong mentors of senior machine learning scientists and able to grow them to the next level.
"San Francisco, CA 94107 (South Beach area)",Senior Data Scientist,PayJoy,203200.0,"Construct data features to feed into the models you will build, design and build our data feature service solution, and set up data feature validation…"
"San Jose, CA",Sr. Data Analyst,Next Level Services,164592.0,"Good to have MDM background.Should be a good story teller (verbally and through digital presentation).Should have experience engaging Enterprise stakeholders,…"
"Santa Clara, CA 95054",Machine Learning and Artificial Intelligence Researcher,Apollo AI Inc.,152400.0,We follow a judicious approach of mixture of classical techniques with modern deep learning based on more than 100 person years of experience in information…
"Redwood City, CA 94063 (Downtown area)",Senior Data Scientist,Fracta,127000.0,"Knowledge and ability to deal with challenging data problems such as data mining, feature definition and ML-based data cleaning."
"West Menlo Park, CA",Data Scientist,BillionToOne,152400.0,On any given day you might work with Process Engineering to help optimize the clinical laboratory supply chain; determine an optimal strategy for placement of…
"Mountain View, CA 94043",Machine Learning - Intelligent Mobility System Engineer,ADAPT Technology LLC.,271272.0,"Implement machine learning/ deep learning models (supervised learning, reinforcement learning) for the following tasks: 2D/3D object detection, semantic…"
"Pleasanton, CA",QA Engineer with AI/ML,Digital Dhara,198120.0,"At least 3-5 years of experience in hands on test development in two or more programming languages or other applicable skills, such as JAVA, JavaScript, C#,…"
"Missouri City, MO",Jr. Data Scientist,Dash Technologies Inc,114953.41500000001,"Work with developers to design algorithms and flowcharts.Produce clean, efficient code based on specifications.Verify and deploy programs and systems."
"Columbus, OH",Machine Learning Architect,Digital Dhara,289560.0,"The ML Ops Architect will work with data scientists, platform/data engineers, and domain experts to design machine learning pipelines developing both inbound…"
"Portland, OR 97202 (Hosford-Abernethy area)",Data Analyst/Data Scientist,Cascade Data Labs,117475.0,Analyze a collection of raw data sets to create meaningful impact to large enterprise clients while maintaining a high degree of scientific rigor and discipline…
"Portland, OR 97202 (Hosford-Abernethy area)",Data Analyst/Data Scientist,Cascade Data Labs,117475.0,Cascade Data Labs is a boutique consulting agency with end-to-end experience helping Fortune 500 companies form and execute their analytics strategy and…
"Boulder, CO 80301",Data Science & Business Intelligence Lead,"City of Boulder, CO",149225.0,"This position will be responsible for leading a the new team of technical business intelligence, data science, and data engineering resources who will serve as…"
